国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Yemen,Al Hada,0.0,0.4654712368928107,149.99904618062877,0.0,0.5,
Yemen,Habur Zulaymah,0.0,0.4652802756183433,149.99915973498094,0.0,0.5,
Yemen,Mayfa'at Anss,0.0,0.46498988030473487,149.9990178010369,0.0,0.5,
Yemen,Al Mukalla City,0.0,0.5496020228758423,149.99935936064057,0.0,0.4999978856904332,
Yemen,Wadi Al Ayn,0.0,0.4658878096516083,149.9989575911565,0.0,0.5,
Yemen,Abs,0.0,0.6946967566993968,149.99999892376883,0.0,0.5,
Yemen,Bakil Al Mir,0.0,0.46765371808376555,149.99924406243102,0.0,0.5,
Yemen,Bani Qa'is,0.0,0.46630182506953954,149.9991545695307,0.0,0.5,
Yemen,Hajjah City,0.0,0.46557517441227303,149.99913059149398,0.0,0.5,
Yemen,Anss,0.0,0.5394315595102479,149.99937268278026,0.0,0.5,
Yemen,Mabyan,0.0,0.01,149.99878871641008,0.0,0.5,
Yemen,Midi,0.0,0.6947601139139304,149.99999911171818,0.0,0.5,
Syria,As-Suwayda,0.0,0.6906905741492744,150.0000019716955,0.0,0.5,
Syria,Tal Abyad,0.0,0.6876126530670759,150.00000070077587,0.0,0.5,
Syria,Damascus,0.0,0.694159957264768,150.00000250680034,0.0,0.5,
Syria,As-Sanamayn,0.0,0.6924459350129741,150.00000087396074,0.0,0.5,
Syria,Daraa,0.0,0.6962454736655919,150.00000101590425,0.0,0.5,
Syria,Shahba,0.0,0.6993426005699475,150.0000029300727,0.0,0.5,
Syria,Izra',0.0,0.700649569184949,150.00000144684768,0.0,0.5,
Syria,Hama,0.0,0.7173822690419555,150.0000005909079,0.0,0.5,
Syria,Masyaf,0.0,0.6936477872254787,150.00000192168912,0.0,0.5,
Syria,Salamiyah,0.0,0.6913081635490357,150.00000089701447,0.0,0.5,
Yemen,Al Ashah,0.0,0.46491825262764086,149.9991792173448,0.0,0.5,
Yemen,Kharab Al Marashi,0.0,0.46618675416605965,149.9991854082189,0.0,0.5,
Yemen,Al Mahwait City,0.0,0.4654963508907266,149.99911794271767,0.0,0.5,
Yemen,At Tawilah,0.0,0.46570856008896216,149.99910545895642,0.0,0.5,
Yemen,As Sabrah,0.0,0.5557559075972203,149.9994405919967,0.0,0.4999982672439239,
Yemen,Al Dhihar,0.0,0.46727447397199395,149.99905595427262,0.0,0.5,
Yemen,Washhah,0.0,0.5468482713221912,149.9995009640435,0.0,0.5,
Syria,Al-Mukharram,0.0,0.6901398834209441,150.00000258903577,0.0,0.5,
Yemen,Al Had,0.0,0.6875177223340692,149.99998303710447,0.0,0.5,
Yemen,Al Madaribah Wa Al Arah,0.0,0.46764920255835446,149.99904530331378,0.0,0.5,
Yemen,Ibb,0.0,0.5508675695754707,149.99941878913077,0.0,0.5,
Yemen,Ba'dan,0.0,0.588706231517854,149.99957093079684,0.0,0.5,
Yemen,Tuban,0.0,0.6889035399123835,149.99998591965564,0.0,0.5,
Yemen,Al Abdiyah,0.0,0.6580350594341533,149.99986911826178,0.0,0.5,
Yemen,Al Jubah,0.0,0.616716114086221,149.99971964502512,0.0,0.4999998318584014,
Yemen,Harib Al Qaramish,0.0,0.5465550222983477,149.99941162297378,0.0,0.5,
Yemen,Mahliyah,0.0,0.5971605235607079,149.99961782691312,0.0,0.5,
Yemen,Majzar,0.0,0.6910549274280097,149.9999980916129,0.0,0.5,
Yemen,Al Qabbaytah,0.0,0.7283652670351065,149.9999982538484,0.0,0.5,
Yemen,Dhi As Sufal,0.0,0.5545958906933443,149.99943329621874,0.0,0.5,
Yemen,Marib City,0.0,0.6827824397898941,149.9999980583258,0.0,0.5,
Yemen,Marib,0.0,0.6932065097840859,149.99999805541785,0.0,0.5,
Yemen,Medghal,0.0,0.7171985047058673,149.99999767110504,0.0,0.5,
Yemen,Raghwan,0.0,0.6930527459644927,149.999997486713,0.0,0.5,
Yemen,Al Jabin,0.0,0.5562513049241762,149.99948297422833,0.0,0.5,
Yemen,Sirwah,0.0,0.6908675267815428,149.9999986718662,0.0,0.5,
Yemen,As Safra,0.0,0.6916389617650349,149.99999861972358,0.0,0.5,
Yemen,Al Dhaher,0.0,0.6887351108927091,149.99999891651763,0.0,0.5,
Syria,Al-Hasakah,0.0,0.6886707811551813,150.00000059458708,0.0,0.5,
Syria,Ra's al-'Ayn,0.0,0.6814537655018543,150.00000145437642,0.0,0.5,
Syria,As-Safirah,0.0,0.6911684929228846,150.0000017473923,0.0,0.5,
Syria,Manbij,0.0,0.6934504627416156,150.0000004619549,0.0,0.5,
Syria,Ath-Thawrah,0.0,0.6910886091050912,150.00000134731056,0.0,0.5,
Yemen,Kitaf wa Al Boqe'e,0.0,0.690352893985878,149.99999833293825,0.0,0.5,
Yemen,Majz,0.0,0.6906595127922719,149.99999799806605,0.0,0.5,
