国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Yemen,Al Mina,0.019258635956209816,0.7026023377029277,0.027411429393662697,0.2533458685239156,,12
Yemen,Mukayras,0.017391654747699905,0.9568871894520931,0.04933355658131301,0.06607268465522642,,7
Palestine,Ramallah and Al-Bireh,0.015336042116756524,0.7197900859998803,0.026463076072494193,0.2353450866351866,,18
Yemen,Al Munirah,0.01409321985449966,0.9346349226033396,0.028846548548388737,0.21604024967926871,,5
Yemen,Al Musaymir,0.01264904131243692,0.91176649210845,0.05131149397436157,0.1429224718961074,,9
Yemen,Old City,0.011980950669744308,0.9944217730222086,0.1282034949421152,0.0004535009606900231,✓,8
Palestine,Nablus,0.01162037352819593,0.4889545751991214,0.018300670616730547,0.3425025878054857,,72
Syria,As-Safirah,0.011320320991045449,0.49287463222465977,0.012508983862306877,0.3766488625612894,,18
Syria,Tartus,0.0030153708943536834,0.5651352075524265,0.00041649834916487514,0.4809824269161171,,10
Palestine,Khorrambid,1e-06,0.06533377299231467,-0.001744667856056607,0.5,,1
Palestine,Karaj,1e-06,0.06533390504957656,-0.001744668087870906,0.5,,1
Palestine,Tiran and Karvan,1e-06,0.06533374564838133,-0.0017446678080567351,0.5,,1
Palestine,Borujen,1e-06,0.06533377299231467,-0.001744667856056607,0.5,,1
Palestine,Shahriyar,1e-06,0.06533390504957656,-0.001744668087870906,0.5,,1
Yemen,Al Mansuriyah,1e-06,0.06533376242704933,-0.001744667837509995,0.5,,1
