区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
42,Ripkyns'kyi,Chernihiv,0.038135831359031105,0.49757006580694074,0.04121305156784874,0.11875163833435148,False,17
2,Cherkas'kyi,Cherkasy,0.037815777289199985,0.9170811971011467,0.08069017695902003,0.012005140943337378,True,4
41,Pryluts'kyi,Chernihiv,0.037758955602441684,0.9385126856743091,0.1482664224883705,3.0802367381732587e-06,True,29
145,Novoazovs'kyi,Donets'k,0.03758469370629567,0.9437392193229228,0.15189742134217288,1.0392149700777509e-06,True,26
539,Vinnyts'ka,Vinnytsya,0.03750424787928788,0.49586432614322373,0.04637848331460792,0.08912399537618498,False,34
216,Hornosta‹vs'kyi,Kherson,0.037398573209252536,0.8109702841207738,0.048763867703611706,0.05334903070784197,False,13
260,Brovars'ka,Kiev,0.03407575268869272,0.9537657048521827,0.17031626025061763,4.955440030540714e-08,True,30
218,Kakhovs'kyi,Kherson,0.03397245115476658,1e-06,0.028203132107055846,0.17272318395858494,False,20
160,Volodars'kyi,Donets'k,0.033688830747806334,0.4933212385792554,0.036528510910841964,0.11305906235349206,False,50
397,Bilhorod-Dnistrovs'ka,Odessa,0.03231845980635851,0.874968616200776,0.07008184652104127,0.01790563885588803,True,16
271,Obukhivs'kyi,Kiev,0.03054850533859104,0.9240246523810616,0.0960983193904053,0.0016205363157886232,True,19
366,Starobil's'kyi,Luhans'k,0.030489875681178044,0.9524509780348946,0.14930225203336353,1.2967774370431506e-06,True,21
77,Saks'ka,Crimea,0.02808729946801686,0.5022561978571095,0.023502448812999475,0.20813682568397462,False,11
156,Tel'manivs'kyi,Donets'k,0.025488980197592877,0.9659888060854389,0.23394386833489192,1e-10,True,75
259,Boryspil's'ka,Kiev,0.025402806160500342,0.9814801100906616,0.2616902688469993,1e-10,True,17
488,Romens'kyi,Sumy,0.024595350849328925,0.9549597426088113,0.08207811108670451,0.00471884194279365,True,7
204,Shevchenkivs'kyi,Kharkiv,0.024533932547254722,0.9626524207305753,0.1921308616119861,6.297967147794736e-10,True,94
288,Pechers'kyi,Kiev City,0.024402224128678825,0.9571807297818348,0.10510487435688405,0.00031752095304310446,True,18
26,Borznians'kyi,Chernihiv,0.023570720521840068,0.478344448408575,0.033714743925342426,0.17941921037913738,False,15
209,Zmiïvs'kyi,Kharkiv,0.023514610183448355,0.9669463037366147,0.13740279555083795,4.043832856903684e-07,True,54
102,Petrykivs'kyi,Dnipropetrovs'k,0.023444043151356796,0.4811188187704436,0.037504474125514484,0.18283427448809986,False,15
322,L'vivs'ka,L'viv,0.023435658985750216,0.6312553979216917,0.02667225575974143,0.1612657729488225,False,35
98,Ordzhonikidzevs'ka,Dnipropetrovs'k,0.023300579153398764,0.9799715793933529,0.2955397636191134,1e-10,True,60
